"Var1","Var2","value","year"
"R726","R437",0.797878787878788,"2018"
"R727","R437",0.364316239316239,"2018"
"R728","R437",0.0110803324099723,"2018"
"R729","R437",0.802439024390244,"2018"
"R730","R437",0.698703946410368,"2018"
"R732","R437",0.648755860079336,"2018"
"R734","R437",0.0421245421245421,"2018"
"R737","R437",0.00967117988394584,"2018"
"R738","R437",0.490238611713666,"2018"
"R739","R437",0.626327878265863,"2018"
"R741_R1232","R437",0.781540141998908,"2018"
"R743","R437",0.751182965299685,"2018"
"R745","R437",0.646517739816032,"2018"
"R747","R437",0.981098109810981,"2018"
"R748","R437",0.836018957345972,"2018"
"R749","R437",0.843411839592616,"2018"
"R750","R437",0.559014267185473,"2018"
"R753","R437",0.681794470526865,"2018"
"R761","R437",0.191425120772947,"2018"
"R767","R437",0.0926829268292683,"2018"
"R769","R437",0.181094992980814,"2018"
"R777_R889","R437",0.940422583997229,"2018"
"R800","R437",0.242963699651914,"2018"
"R811","R437",0.512434421203243,"2018"
"R813_R1020","R437",0.278449144008056,"2018"
"R814","R437",0.566548881036514,"2018"
"R150_R751_L230","R462_R577",0.572969329288844,"2018"
"R176_L222","R462_R577",0.546330122882763,"2018"
"R247_R539_L433","R462_R577",0.602823071306887,"2018"
"R291","R462_R577",0.904191616766467,"2018"
"R296","R462_R577",0.416528925619835,"2018"
"R297","R462_R577",0.649044486215539,"2018"
"R305","R462_R577",0.809275751974458,"2018"
"R316","R462_R577",0.742626124587177,"2018"
"R404","R462_R577",0.985074626865672,"2018"
"R437","R462_R577",0.506945169712794,"2018"
"R462_R577","R462_R577",1,"2018"
"R476_R580","R462_R577",0.492499815266386,"2018"
"R520_L575","R462_R577",0.614640653660163,"2018"
"R523","R462_R577",0.594429513804056,"2018"
"R561","R462_R577",0.785334121821407,"2018"
"R584","R462_R577",1,"2018"
"R587","R462_R577",0.591219863260166,"2018"
"R591","R462_R577",0.755223880597015,"2018"
"R605","R462_R577",0.784414879174586,"2018"
"R607","R462_R577",0.896063206647596,"2018"
"R611","R462_R577",1,"2018"
"R623","R462_R577",0.904307235306599,"2018"
"R627_R1334","R462_R577",0.739335252551688,"2018"
"R646","R462_R577",0.906720160481444,"2018"
"R685_R836","R462_R577",0.489133258290761,"2018"
"R693","R462_R577",0.363244176013805,"2018"
"R713","R462_R577",1,"2018"
"R714","R462_R577",1,"2018"
"R716","R462_R577",0.805691056910569,"2018"
"R717","R462_R577",0.656500802568218,"2018"
"R724","R462_R577",0.197778463437211,"2018"
"R726","R462_R577",0.506363636363636,"2018"
"R727","R462_R577",0.599296128707893,"2018"
"R728","R462_R577",1,"2018"
"R729","R462_R577",0.701829268292683,"2018"
"R730","R462_R577",0.747342362021261,"2018"
"R732","R462_R577",0.698521456905878,"2018"
"R734","R462_R577",1,"2018"
"R737","R462_R577",1,"2018"
"R738","R462_R577",0.318872017353579,"2018"
"R739","R462_R577",0.824863623313236,"2018"
"R741_R1232","R462_R577",0.664117968323321,"2018"
"R743","R462_R577",0.751182965299685,"2018"
"R745","R462_R577",0.42969776609724,"2018"
"R747","R462_R577",0.97029702970297,"2018"
"R748","R462_R577",0.666350710900474,"2018"
"R749","R462_R577",0.537555697008275,"2018"
"R750","R462_R577",0.956160830090791,"2018"
"R753","R462_R577",0.822117892540428,"2018"
"R761","R462_R577",1,"2018"
"R767","R462_R577",1,"2018"
"R769","R462_R577",1,"2018"
"R777_R889","R462_R577",0.98753030827849,"2018"
"R800","R462_R577",0.47319741422178,"2018"
"R811","R462_R577",0.490767868092935,"2018"
"R813_R1020","R462_R577",1,"2018"
"R814","R462_R577",0.446996466431095,"2018"
"R150_R751_L230","R476_R580",0.74216380182002,"2018"
"R176_L222","R476_R580",0.772583859182996,"2018"
"R247_R539_L433","R476_R580",1,"2018"
"R291","R476_R580",0.644995722840034,"2018"
"R296","R476_R580",0.995867768595041,"2018"
"R297","R476_R580",0.778978696741855,"2018"
"R305","R476_R580",0.795160477230717,"2018"
"R316","R476_R580",0.601070493110124,"2018"
"R404","R476_R580",1,"2018"
"R437","R476_R580",0.974412532637076,"2018"
"R462_R577","R476_R580",0.587794338125055,"2018"
"R476_R580","R476_R580",1,"2018"
"R520_L575","R476_R580",0.449224612306153,"2018"
"R523","R476_R580",0.873686782311263,"2018"
"R561","R476_R580",0.960674157303371,"2018"
"R584","R476_R580",0.343359242987496,"2018"
"R587","R476_R580",0.911119107592659,"2018"
"R591","R476_R580",0.619977037887486,"2018"
