"year","sample.id","sample.date","sample.group","sample.mass","site","sex","age.class","min.age","uid","degree","betweenness","eigen","strength","stan.strength","range.area","range.area.sqrt","social.group"
NA,"DNA2W2C",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
NA,"DNA2W2D",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
NA,"DNA2W2E",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
NA,"DNA2W2F",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
2021,"S00K90130","15-Jun-21","sample","0.2424","primary","F","adult",1,"R990",3,0,0.0858538436585427,0.240665766981556,0.00286506865454234,230,15.1657508881031,"21D"
2021,"S00K90131","15-Jun-21","sample","0.2455","primary","M","adult",1,"R1121",23,607,0.931389358550696,2.29095778662342,0.0272733069836122,2873.09008789062,53.6012134927057,"21D"
2021,"S00K90132","15-Jun-21","sample","0.2458","primary","F","adult",2,"R838",14,169.5,0.356008447144997,1.01684308123937,0.0121052747766591,4732.5,68.7931682654608,"21D"
2021,"S00K90133","15-Jun-21","sample","0.2549","primary","M","adult",1,"R1133",19,666,0.372423498525204,1.8053894634777,0.0214927317080678,2359.5,48.5746847648032,"21B"
2021,"S00K90134","15-Jun-21","sample","0.257","primary","F","adult",1,"R1078",21,456.5,0.728962773340423,1.68208020050125,0.0200247642916816,2723.2548828125,52.1848146764219,"21D"
2021,"S00K90135","15-Jun-21","sample","0.2429","primary","M","adult",1,"R1116_R1300",11,495.5,0.127736722790737,1.19112276612277,0.0141800329300329,1645,40.5585995813465,"21F"
2021,"S00K90136","15-Jun-21","sample","0.2499","primary","F","adult",2,"R867",5,137,0.0511220025637617,0.435786435786436,0.00518793375936233,436,20.8806130178211,"21F"
2021,"S00K90137","15-Jun-21","sample","0.2471","primary","M","juvenile",0,"R1084",2,0,0.0277914172601908,0.311111111111111,0.0037037037037037,436,20.8806130178211,"21F"
2021,"S00K90138","15-Jun-21","sample","0.2524","primary","M","adult",1,"R1123",12,63,0.426106052955409,0.986311173346777,0.0117417996826997,2360.21020507812,48.5819946593192,"21D"
2021,"S00K90139","15-Jun-21","sample","0.2522","primary","F","adult",1,"R1092",2,0,0.0565179061007479,0.366666666666667,0.00436507936507937,1280,35.7770876399966,"21D"
2021,"S00K90140","15-Jun-21","sample","0.2418","primary","F","adult",1,"R1069_L1403",15,221,0.204175288726877,1.27797978165625,0.0152140450197173,1229.5,35.0642267845735,"21B"
2021,"S00K90141","15-Jun-21","sample","0.2529","primary","M","adult",1,"R1097",13,185,0.156067490338363,1.65589965589966,0.0197130911416626,1315.5,36.2698221666443,"21F"
2021,"S00K90142","15-Jun-21","sample","0.2539","primary","M","juvenile",0,"R1105",10,163,0.363224181071178,1.0754329004329,0.0128027726242012,1384.5,37.2088699102781,"21D"
2021,"S00K90143","15-Jun-21","sample","0.1342","primary","F","adult",3,"R741_R1232",NA,NA,NA,NA,NA,NA,NA,NA
2021,"S00K90144","15-Jun-21","sample","0.2521","primary","F","adult",4,"R597",6,5,0.121803054872563,0.702020202020202,0.00835738335738336,2655.63403320312,51.5328442180627,"21E"
2021,"S00K90145","15-Jun-21","sample","0.2448","primary","F","adult",1,"R1151",10,119,0.18693503473694,0.843240093240093,0.0100385725385725,1093.03247070312,33.0610415852725,"21B"
